=============================================
Dataset: PhonemeSpectra
Method:  TS-TCC
Mode:    self_supervised
Seed:    2024
mask:    0.75
lam:     0.3
lr:      0.0001
ft_lt:   0.0001
pre_epo: 100
ft_epo:  200
head:    4
layer:   8
d_head:  2
d_layer: 2
fd_layer:2
=============================================
Data loaded ...
Pre-training started ....
Epoch 1/100: loss: 19.06769561767578, ts loss: 7.553589344024658, fq loss: 2.168006181716919, ts_freq loss: 18.400245666503906, fq_freq loss: 12.75341510772705
Epoch 53/100: loss: 13.366768836975098, ts loss: 3.646937608718872, fq loss: 1.150619387626648, ts_freq loss: 16.476808547973633, fq_freq loss: 12.087231636047363

Epoch 54/100: loss: 13.583273887634277, ts loss: 3.730648994445801, fq loss: 1.1828367710113525, ts_freq loss: 16.569189071655273, fq_freq loss: 12.330102920532227

Epoch 55/100: loss: 13.33001708984375, ts loss: 3.6587393283843994, fq loss: 1.139998197555542, ts_freq loss: 16.367429733276367, fq_freq loss: 12.070165634155273

Epoch 56/100: loss: 13.269477844238281, ts loss: 3.583005666732788, fq loss: 1.1091961860656738, ts_freq loss: 16.404277801513672, fq_freq loss: 12.186637878417969

Epoch 57/100: loss: 13.306880950927734, ts loss: 3.5479989051818848, fq loss: 1.1152076721191406, ts_freq loss: 16.52379608154297, fq_freq loss: 12.28845500946045

Epoch 58/100: loss: 13.4334716796875, ts loss: 3.650860071182251, fq loss: 1.137030005455017, ts_freq loss: 16.520957946777344, fq_freq loss: 12.297647476196289

Epoch 59/100: loss: 13.345149993896484, ts loss: 3.627383232116699, fq loss: 1.1324357986450195, ts_freq loss: 16.411361694335938, fq_freq loss: 12.206409454345703

Epoch 60/100: loss: 13.427216529846191, ts loss: 3.662005662918091, fq loss: 1.171234130859375, ts_freq loss: 16.38445472717285, fq_freq loss: 12.26213264465332

Epoch 61/100: loss: 13.35232162475586, ts loss: 3.650843858718872, fq loss: 1.141060709953308, ts_freq loss: 16.408981323242188, fq_freq loss: 12.125741004943848

Epoch 62/100: loss: 13.290018081665039, ts loss: 3.597097873687744, fq loss: 1.1505106687545776, ts_freq loss: 16.335237503051758, fq_freq loss: 12.139453887939453

Epoch 63/100: loss: 13.29171371459961, ts loss: 3.600358486175537, fq loss: 1.1453101634979248, ts_freq loss: 16.341293334960938, fq_freq loss: 12.145519256591797

Epoch 64/100: loss: 13.296548843383789, ts loss: 3.5827102661132812, fq loss: 1.110030174255371, ts_freq loss: 16.428014755249023, fq_freq loss: 12.251346588134766

Epoch 65/100: loss: 13.291686058044434, ts loss: 3.6232059001922607, fq loss: 1.1313551664352417, ts_freq loss: 16.317502975463867, fq_freq loss: 12.13957405090332

Epoch 66/100: loss: 13.28485107421875, ts loss: 3.615309476852417, fq loss: 1.1135575771331787, ts_freq loss: 16.36782455444336, fq_freq loss: 12.152121543884277

Epoch 67/100: loss: 13.292428970336914, ts loss: 3.6333513259887695, fq loss: 1.136664628982544, ts_freq loss: 16.345117568969727, fq_freq loss: 12.062921524047852

Epoch 68/100: loss: 13.224620819091797, ts loss: 3.584026575088501, fq loss: 1.140334963798523, ts_freq loss: 16.34014129638672, fq_freq loss: 11.994054794311523

Epoch 69/100: loss: 13.417364120483398, ts loss: 3.672682285308838, fq loss: 1.156149983406067, ts_freq loss: 16.427135467529297, fq_freq loss: 12.201301574707031

Epoch 70/100: loss: 13.34048080444336, ts loss: 3.6189818382263184, fq loss: 1.1377564668655396, ts_freq loss: 16.367713928222656, fq_freq loss: 12.244758605957031

Epoch 71/100: loss: 13.201064109802246, ts loss: 3.532895803451538, fq loss: 1.1190739870071411, ts_freq loss: 16.32548713684082, fq_freq loss: 12.171497344970703

Epoch 72/100: loss: 13.282670021057129, ts loss: 3.611421823501587, fq loss: 1.1371570825576782, ts_freq loss: 16.37095069885254, fq_freq loss: 12.07601547241211

Epoch 73/100: loss: 13.199014663696289, ts loss: 3.5546600818634033, fq loss: 1.1469650268554688, ts_freq loss: 16.309621810913086, fq_freq loss: 12.015009880065918

Epoch 74/100: loss: 13.508566856384277, ts loss: 3.7234930992126465, fq loss: 1.190918207168579, ts_freq loss: 16.37006378173828, fq_freq loss: 12.277117729187012

Epoch 75/100: loss: 13.042746543884277, ts loss: 3.4872608184814453, fq loss: 1.1110711097717285, ts_freq loss: 16.216760635375977, fq_freq loss: 11.931290626525879

Epoch 76/100: loss: 13.081140518188477, ts loss: 3.528416156768799, fq loss: 1.0984591245651245, ts_freq loss: 16.19529914855957, fq_freq loss: 11.98558235168457

Epoch 77/100: loss: 13.262454986572266, ts loss: 3.581092119216919, fq loss: 1.1317963600158691, ts_freq loss: 16.31190299987793, fq_freq loss: 12.186649322509766

Epoch 78/100: loss: 13.224486351013184, ts loss: 3.614847421646118, fq loss: 1.146976113319397, ts_freq loss: 16.175188064575195, fq_freq loss: 12.033682823181152

Epoch 79/100: loss: 13.354514122009277, ts loss: 3.686941623687744, fq loss: 1.1464619636535645, ts_freq loss: 16.291793823242188, fq_freq loss: 12.111907958984375

Epoch 80/100: loss: 13.153319358825684, ts loss: 3.5528388023376465, fq loss: 1.1014169454574585, ts_freq loss: 16.253690719604492, fq_freq loss: 12.076520919799805

Epoch 81/100: loss: 13.17767333984375, ts loss: 3.5813121795654297, fq loss: 1.125647783279419, ts_freq loss: 16.19843292236328, fq_freq loss: 12.037278175354004

Epoch 82/100: loss: 13.319095611572266, ts loss: 3.6691994667053223, fq loss: 1.1565032005310059, ts_freq loss: 16.22637367248535, fq_freq loss: 12.08493423461914

Epoch 83/100: loss: 13.261579513549805, ts loss: 3.66689395904541, fq loss: 1.1427710056304932, ts_freq loss: 16.2123966217041, fq_freq loss: 11.96064567565918

Epoch 84/100: loss: 13.184160232543945, ts loss: 3.6325414180755615, fq loss: 1.1499868631362915, ts_freq loss: 16.13871955871582, fq_freq loss: 11.866716384887695

Epoch 85/100: loss: 13.108214378356934, ts loss: 3.5183205604553223, fq loss: 1.0977530479431152, ts_freq loss: 16.23345375061035, fq_freq loss: 12.073677062988281

Epoch 86/100: loss: 13.174246788024902, ts loss: 3.5829949378967285, fq loss: 1.117784023284912, ts_freq loss: 16.127687454223633, fq_freq loss: 12.117199897766113

Epoch 87/100: loss: 13.010754585266113, ts loss: 3.4517037868499756, fq loss: 1.1054391860961914, ts_freq loss: 16.111753463745117, fq_freq loss: 12.066950798034668

Epoch 88/100: loss: 13.31353759765625, ts loss: 3.597531795501709, fq loss: 1.1302353143692017, ts_freq loss: 16.303176879882812, fq_freq loss: 12.316057205200195

Epoch 89/100: loss: 13.281328201293945, ts loss: 3.6295721530914307, fq loss: 1.135772466659546, ts_freq loss: 16.223634719848633, fq_freq loss: 12.162973403930664

Epoch 90/100: loss: 13.011468887329102, ts loss: 3.5249173641204834, fq loss: 1.098293662071228, ts_freq loss: 16.075468063354492, fq_freq loss: 11.885392189025879

Epoch 91/100: loss: 13.144423484802246, ts loss: 3.5453853607177734, fq loss: 1.1429330110549927, ts_freq loss: 16.170211791992188, fq_freq loss: 12.016807556152344

Epoch 92/100: loss: 12.974373817443848, ts loss: 3.50186824798584, fq loss: 1.0959457159042358, ts_freq loss: 16.097976684570312, fq_freq loss: 11.823887825012207

