pretrain epoch90, loss3.069275009221044, mse0.06840422287069518, ce2.7272538851047385, hits43582, ndcg0.7557404041290283
pretrain epoch91, loss3.040576934814453, mse0.06677072777830322, ce2.7067232871877738, hits43658, ndcg0.7604523907447683
pretrain epoch92, loss2.8464080794104216, mse0.06643729374326508, ce2.5142216148047614, hits47021, ndcg0.8062237316164477
pretrain epoch93, loss2.8004719964389144, mse0.06756342067543802, ce2.4626549030172415, hits48187, ndcg0.8176008504012535
pretrain epoch94, loss2.75608780466277, mse0.06720755486909685, ce2.4200500332075974, hits49100, ndcg0.8260058575663073
pretrain epoch95, loss2.7411026831330925, mse0.0664691754841599, ce2.408756806932647, hits49433, ndcg0.8293185285453138
pretrain epoch96, loss2.7055448417005867, mse0.06469229184861841, ce2.382083374878456, hits50066, ndcg0.8354757530935879
pretrain epoch97, loss2.672798181402272, mse0.06465961617128603, ce2.3495001135201288, hits50680, ndcg0.8422520777274822
pretrain epoch98, loss2.6725154909594306, mse0.06540812712548108, ce2.345474863874501, hits50781, ndcg0.8432920605971895
pretrain epoch99, loss2.648361292378656, mse0.06552873937220409, ce2.3207176266045404, hits51306, ndcg0.8490729938293325
pretrain epoch100, loss2.6448295979664245, mse0.06703638959804485, ce2.3096476546649276, hits51565, ndcg0.8515329576771835
